"Id","RouteId","Description","ExactPoint","Time","IsActive","UserId"
844,28,"RESTIA SUITES","MAI ROAD","06:55",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
845,19,"ARION HOTEL","MAIN ROAD","08:20",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
848,22,"PALEO DISCO","MAIN ROAD","07:00",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
849,22,"MOODY BLUE BAR PALEOK.","MAIN ROAD","07:00",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
850,19,"SOPHIAS CORNER","MAIN ROAD","07:29",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
851,29,"FOUNTAIN BAR","CROSSROAD","09:45",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
852,19,"DASSIA PHARMACY","MAIN ROAD","07:31",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
853,29,"SILVERSTONE GO CARTS","MAIN ROAD","09:44",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
854,28,"ANGELINA","MAIN ROAD - KALUA BAR","07:30",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
855,22,"VILLA MIRTO","MAIN ROAD","07:15",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
856,29,"SAN MARINA","MAIN ROAD","09:45",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
858,29,"CAPTAINS AG.PETROS","MAIN ROAD","09:44",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
859,29,"SCRIVAS","MAIN ROAD","09:44",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
860,28,"NSK OFFICE SIDARI (MELISSA)","MAIN ROAD","07:30",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
861,28,"PANORAMA","SIDARI SCONTO MARKET","07:30",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
862,28,"SPIROS S/M SIDARI","MAIN ROAD","07:37",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
863,28,"TZORAS S/M ACHARAVI","MAIN ROAD","06:57",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
864,29,"EKATI HOTEL","OFFICE","09:45",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
865,29,"ISLAND HOLIDAYS","OFFICE","09:45",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
866,29,"LEMON GROVE","MAIN ROAD","09:45",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
867,22,"LAKONES JUNCTION","JUNCTION","07:00",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
868,22,"ROSA BELLA","ERMONES BRIDGE","07:05",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
870,22,"ERMONES BUS STOP","BUS STOP","07:05",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
871,22,"GLYFADA BUS STOP","BUS STOP","07:15",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
872,29,"PANDIS TRAVEL","OFFICE","09:45",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
873,32,"AKTI ARILLAS HOTEL","AKTI ARILLAS","07:00",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
875,28,"SUNRISE TAVERNA","MAIN ROAD","07:20",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
